YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1954  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    3.8   999.9   999.9   999.9   999.9  999.90
1955    4.4    6.9    7.2    9.7   16.6   21.9   23.1   22.0   18.5   15.5    7.8    3.2     5.0    11.2    22.3    13.9   13.12
1956    1.5    0.2    2.0   12.3   14.2   20.3   23.0   25.0   16.8   11.3    5.4    0.5     1.6     9.5    22.8    11.2   11.27
1957   -2.0    3.9    6.0   13.1   15.1   21.5   25.2   25.9   20.6   14.5    7.0    2.8     0.8    11.4    24.2    14.0   12.61
1958    1.9    4.9    6.4   10.8   17.3   19.7   22.8   23.3   17.2   12.1    7.0    3.6     3.2    11.5    21.9    12.1   12.18
1959    2.1   -4.8    4.6   11.5   16.0   19.3   23.2   21.8   15.4    9.9    6.2    5.2     0.3    10.7    21.4    10.5   10.73
1960    2.9    0.0    5.4   10.8   17.2   19.3   23.6   22.0   18.5   15.1    9.5    5.4     2.7    11.1    21.6    14.4   12.46
1961   -0.6    1.1    4.4   13.3   16.8   20.0   23.5   23.4   16.2   12.6    8.6    3.4     2.0    11.5    22.3    12.5   12.06
1962    2.0    1.7    8.2   11.6   17.5   21.1   24.9   25.4   18.8   13.7   11.6    5.0     2.4    12.4    23.8    14.7   13.33
1963    2.6    4.7    4.0   10.5   14.6   19.7   23.0   24.4   19.4   13.4    8.1    3.3     4.1     9.7    22.4    13.6   12.45
1964   -3.2   -0.8    7.2   10.1   14.5   19.0   23.0   21.2   17.8   14.1    7.4    4.8    -0.2    10.6    21.1    13.1   11.13
1965    1.9   -0.3    7.2    9.9   15.4   21.1   23.0   23.3   19.9   10.2    7.4    4.9     2.1    10.8    22.5    12.5   11.98
1966    2.6    6.2    7.2   12.6   15.3   19.9   24.3   24.3   18.6   16.1   12.1    4.2     4.6    11.7    22.8    15.6   13.68
1967    0.2   -2.2    4.7   10.5   15.4   18.7   22.1   23.0   18.3   13.8    5.9    4.0     0.7    10.2    21.3    12.7   11.22
1968   -1.3    1.1    5.1   14.0   18.6   19.1   23.4   21.8   17.8   12.2    8.7    4.2     1.3    12.6    21.4    12.9   12.04
1969    0.3    1.1    6.9    8.5   17.4   21.0   21.3   24.5   19.7   12.2    7.5    5.8     1.9    10.9    22.3    13.1   12.05
1970    4.6    4.9    7.9   14.1   15.2   20.3   24.6   22.5   18.4   11.3    7.8    1.1     5.1    12.4    22.5    12.5   13.12
1971    4.8    3.1    7.3   10.8   15.9   19.7   23.4   22.4   19.4   10.9    7.6    1.8     3.0    11.3    21.8    12.6   12.20
1972   -3.6   -2.2    6.4   13.8   16.6   20.4   23.6   22.8   18.7   13.2    6.0   -0.4    -1.3    12.3    22.3    12.6   11.46
1973   -2.4    5.3    4.5   10.6   16.6   19.1   23.2   21.9   19.7   13.6    5.2    1.8     0.8    10.6    21.4    12.8   11.41
1974   -3.8    2.9    8.3    9.4   15.4   21.3   23.0   22.2   17.3   16.8    7.4    0.9     0.3    11.0    22.2    13.8   11.83
1975   -0.9    1.3    8.5   13.4   15.1   20.7   24.5   23.2   18.9   12.6    5.9   -1.4     0.4    12.3    22.8    12.5   12.01
