YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1951    1.6    1.7    2.1    7.2   11.1   15.5   16.3   17.2   14.7    7.1    7.0    4.5     2.0     6.8    16.3     9.6    8.68
1952    1.2    1.4    1.9   10.4   12.0   14.1   16.4   16.6   10.5    7.3    1.9    0.3     2.4     8.1    15.7     6.6    8.18
1953    1.0    0.3    4.7    8.6   12.8   16.8   17.1   16.3   12.7   10.9    6.7    3.4     0.5     8.7    16.7    10.1    9.02
1954   -1.4   -4.0    3.9    5.7   12.6   15.6   14.4   15.6   13.1   10.6    4.6    4.1    -0.7     7.4    15.2     9.4    7.84
1955   -1.0   -2.1    0.1    6.8    9.8   13.7   17.9   17.8   13.9    8.8    5.2    3.0     0.3     5.6    16.5     9.3    7.92
1956    0.6   -7.6    3.1    4.8   12.6   13.6   17.2   13.5   13.9    8.8    3.8    3.4    -1.3     6.8    14.8     8.8    7.28
1957    2.4    3.9    5.6    7.1    9.7   16.0   17.4   15.3   11.4    9.9    5.4    1.4     3.2     7.5    16.2     8.9    8.96
1958    0.0    1.1    0.1    5.0   12.4   14.3   16.3   16.4   14.7   10.3    4.5    3.3     0.8     5.8    15.7     9.8    8.04
1959    0.3    0.2    6.2    9.4   12.4   15.7   19.1   17.7   13.5    9.4    3.8    2.6     1.3     9.3    17.5     8.9    9.25
1960    1.1    0.3    3.8    6.8   12.6   15.8   15.5   15.4   12.8    9.1    6.4    2.1     1.3     7.7    15.6     9.4    8.52
1961   -0.4    4.7    6.0   10.1   10.4   16.2   15.1   15.2   15.7   11.1    4.3   -0.8     2.1     8.8    15.5    10.4    9.21
1962    2.8    1.5    0.4    7.3    9.4   13.6   14.1   14.5   12.2   10.0    3.7   -2.1     1.2     5.7    14.1     8.6    7.39
1963   -6.1   -4.9    2.4    7.7   12.0   15.9   17.1   16.0   13.1    8.6    7.6   -1.5    -4.4     7.4    16.3     9.8    7.28
1964   -0.7    0.8    0.1    8.6   12.9   16.0   16.4   15.5   13.6    7.4    5.3    1.2    -0.5     7.2    16.0     8.8    7.87
1965    2.2    0.2    2.6    6.7   10.9   15.0   14.3   14.6   13.4    8.9    1.0    2.5     1.2     6.7    14.6     7.8    7.58
1966   -1.5    1.1    4.0    6.6   13.1   17.2   15.8   15.4   13.0   10.7    3.3    2.6     0.7     7.9    16.1     9.0    8.43
1967    1.7    3.8    6.1    6.3   12.8   14.8   17.7   16.3   14.1   11.2    5.1    1.8     2.7     8.4    16.3    10.1    9.38
1968   -0.2    0.7    5.0    9.2   10.5   16.6   16.1   17.4   14.4   11.1    5.4   -1.3     0.8     8.2    16.7    10.3    9.00
1969    1.5   -1.6   -0.3    6.8   11.8   16.0   18.2   17.8   14.0   10.5    5.6   -3.7    -0.5     6.1    17.3    10.0    8.25
1970   -2.8   -1.0    1.8    4.7   11.1   17.1   15.9   16.6   13.0    9.6    6.0    2.1    -2.5     5.9    16.5     9.5    7.36
1971    0.5    2.8    1.7    6.8   13.7   14.3   17.6   17.4   12.4    9.7    4.6    5.2     1.8     7.4    16.4     8.9    8.63
1972   -2.7    1.9    5.4    7.3   11.9   14.8   17.8   15.9   11.0    7.5    5.4    3.1     1.5     8.2    16.2     8.0    8.45
1973    1.8    2.6    5.1    5.2   12.1   16.4   17.8   16.8   13.8    7.5    3.8    1.5     2.5     7.5    17.0     8.4    8.83
1974    4.2    4.1    5.0    8.0   10.9   14.3   14.7   16.4   13.3    6.9    5.9    5.8     3.3     8.0    15.1     8.7    8.77
1975    6.0    1.7    3.7    6.5   10.9   14.8   18.4   19.5   15.3    8.0    3.9    3.5     4.5     7.0    17.6     9.1    9.54
1976    1.4    0.7    1.0    6.7   12.5   16.7   19.0   16.6   13.2    9.8    5.8   -0.1     1.9     6.7    17.4     9.6    8.91
1977    0.6    2.9    5.8    5.8   11.6   15.3   15.9   15.9   11.9   10.7    5.6    3.6     1.1     7.7    15.7     9.4    8.49
1978    1.6   -0.9    4.7    5.2   12.3   15.4   15.4   15.5   12.0   10.3    6.4   -0.4     1.4     7.4    15.4     9.6    8.46
1979   -4.4   -3.0    2.7    6.7   12.3   15.8   14.7   15.5   12.9    8.6    4.8    3.9    -2.6     7.2    15.3     8.8    7.18
1980   -2.6    1.4    2.3    6.5   10.4   15.0   15.2   16.2   13.9    8.4    4.2    1.8     0.9     6.4    15.5     8.8    7.90
1981   -0.4    0.9    5.9    7.3   13.9   14.7   16.2   16.3   14.0    7.8    5.0   -3.5     0.8     9.0    15.7     8.9    8.62
1982   -2.8    0.7    4.5    7.1   12.0   16.0   18.6   17.3   14.9   10.2    6.7    2.6    -1.9     7.9    17.3    10.6    8.47
1983    5.0   -0.7    4.6    8.3   11.8   16.1   19.6   18.5   14.0    9.7    5.0    1.5     2.3     8.2    18.1     9.6    9.54
1984    1.9    0.5    2.3    7.8   11.8   13.3   15.5   17.5   12.4   10.9    5.2    1.8     1.3     7.3    15.4     9.5    8.38
1985   -5.0   -2.6    3.1    7.6   13.0   14.1   17.1   16.1   13.0    9.8    1.8    4.4    -1.9     7.9    15.8     8.2    7.48
1986   -0.2   -5.1    3.3    6.2   13.7   16.1   17.2   15.6   10.9   10.0    7.2    2.9    -0.3     7.7    16.3     9.4    8.28
1987   -5.4    0.4    0.2    9.1    9.9   13.2   16.5   15.1   13.3    9.8    6.6    2.8    -0.7     6.4    14.9     9.9    7.63
1988    4.5    3.1    3.1    7.6   14.1   15.2   16.9   16.6   13.7    9.5    4.3    4.5     3.5     8.3    16.2     9.2    9.28
1989    4.3    4.7    7.1    7.1   13.8   16.4   17.5   16.7   15.0   10.9    3.9    2.6     4.5     9.3    16.9     9.9   10.16
1990    4.7    6.5    7.4    8.1   14.0   15.2   16.4   18.2   12.4   10.9    5.2    2.5     4.6     9.8    16.6     9.5   10.13
1991    2.8   -1.6    6.9    7.5    9.9   13.0   19.0   17.5   14.5    9.1    4.7    2.4     1.2     8.1    16.5     9.4    8.82
1992    2.2    4.4    5.5    8.0   14.5   18.8   18.9   17.8   13.8    6.8    5.7    2.6     3.0     9.3    18.5     8.8    9.90
1993    3.0    0.9    4.1   10.1   14.0   14.9   15.6   14.8   12.0    8.1    0.9    3.4     2.2     9.4    15.1     7.0    8.42
1994    3.7   -0.8    5.4    8.9   12.5   14.8   21.9   17.6   13.1    7.8    7.4    4.3     2.1     8.9    18.1     9.4    9.64
1995    1.3    5.0    3.6    8.1   12.0   14.7   19.9   19.5   13.4   12.0    3.9   -2.6     3.5     7.9    18.0     9.8    9.81
1996   -3.1   -2.3    0.9    8.6   10.4   14.6   15.8   18.4   11.6    9.6    4.8   -1.2    -2.7     6.6    16.3     8.7    7.22
1997   -1.5    5.0    5.2    6.6   11.9   16.0   17.8   20.9   13.4    7.6    4.0    2.9     0.8     7.9    18.2     8.3    8.81
1998    3.7    5.9    5.6    8.8   13.5   15.9   15.5   15.9   13.7    8.6    2.0    1.6     4.2     9.3    15.8     8.1    9.33
1999    3.6    1.6    5.9    9.2   13.1   15.3   19.1   17.5   17.8    9.5    5.1    3.2     2.3     9.4    17.3    10.8    9.94
2000    3.1    4.6    5.1   10.1   14.3   15.9   15.4   16.7   13.9   11.1    7.2    3.7     3.6     9.8    16.0    10.7   10.05
2001    1.4    2.0    2.9    7.4   13.3   13.8   18.4   18.3   12.6   12.7    5.1    0.4     2.4     7.9    16.8    10.1    9.30
2002    3.4    5.3    5.2    8.1   13.7   16.5   17.4   19.8   14.6    7.8    4.5   -0.7     3.0     9.0    17.9     9.0    9.72
2003    0.6   -0.9    5.0    8.7   13.2   17.6   19.3   19.3   14.3    5.9    7.1    3.2    -0.3     9.0    18.7     9.1    9.12
2004    0.5    3.3    4.7    9.6   11.9   14.7   16.1   18.7   14.3   10.3    5.1    3.3     2.3     8.7    16.5     9.9    9.37
2005    3.8    0.5    3.6    9.2   12.5   15.5   18.2   15.9   15.3   11.5    5.3    2.4     2.5     8.4    16.5    10.7    9.55
2006   -1.4    1.1    0.9    7.8   13.2   16.5   22.2   16.8   17.4   12.9    8.0    6.6     0.7     7.3    18.5    12.8    9.82
2007    5.6    3.8    7.2   11.2   13.5   16.9   16.8   17.3   13.5    9.0    5.0    3.3     5.3    10.6    17.0     9.2   10.53
2008    4.8    4.7    4.8    7.9   14.4   16.7   18.3   17.3   13.6   10.0    6.4    2.6     4.3     9.0    17.4    10.0   10.18
2009    0.4    1.7    5.3   12.2   13.0   14.3   18.3   18.6   14.8    8.3    8.5    0.9     1.6    10.2    17.1    10.5    9.83
2010   -3.2   -0.5    4.7    8.8    9.8   15.6   21.0   17.1   13.2    9.3    4.7   -3.4    -0.9     7.8    17.9     9.1    8.45
2011    2.1    1.4    4.4   11.8   13.8   16.6   16.8   17.2   15.3   10.3    5.6    4.9     0.0    10.0    16.9    10.4    9.32
2012    2.8    0.0    7.2    7.8   13.6   14.6   17.2   17.9   13.7    9.6    6.0    1.6     2.6     9.5    16.6     9.8    9.61
2013    1.3    0.6   -0.4    7.6   12.6   15.2   18.9   18.0   13.5   11.4    5.8    5.3     1.2     6.6    17.4    10.2    8.84
2014    1.7    5.3    7.3   10.6   12.6   15.9   20.4   16.5   15.9   13.0    7.1    3.4     4.1    10.2    17.6    12.0   10.97
2015    3.2    2.3    5.9    8.2   11.3   14.8   17.9   18.8   13.4    9.1  999.9  999.9     3.0     8.5    17.2   999.9  999.90

