YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1950  999.9  999.9   -2.0    4.5    9.9   14.5   14.7   16.1   11.8    6.2    1.2   -2.4   999.9     4.1    15.1     6.4    5.32
1951   -6.3   -5.6   -5.8    3.4    6.6   12.9   14.9   17.9   12.4    7.6    1.2    0.8    -4.8     1.4    15.2     7.1    4.73
1952   -2.1   -3.8   -8.6    4.2    7.8   13.1   15.7   13.6    8.5    2.8   -2.6   -3.0    -1.7     1.1    14.1     2.9    4.12
1953   -4.6   -7.6   -0.3    5.2    9.2   16.7   16.4   15.0    9.9    7.9    2.4    0.2    -5.1     4.7    16.0     6.7    5.60
1954   -5.9  -10.5   -0.7    1.4   12.0   13.0   16.7   15.3   11.3    5.4    0.2    0.6    -5.4     4.2    15.0     5.6    4.87
1955   -4.5   -8.0  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    -4.0   999.9   999.9   999.9  999.90
1956  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   -4.4   -2.4   999.9   999.9   999.9   999.9  999.90
1957   -2.2   -3.3   -5.8    1.6    8.0   11.9   16.9   14.7    9.1    5.8    0.9   -2.0    -2.6     1.3    14.5     5.3    4.60
1958   -7.8   -9.9   -7.4    1.0    7.5   13.0   15.6   14.3   10.7    6.5    3.5   -5.3    -6.6     0.4    14.3     6.9    3.75
1959   -4.9   -2.1    0.2    4.4    9.2   14.5   18.1   16.9    9.1    5.0    1.6   -4.7    -4.1     4.6    16.5     5.2    5.56
1960   -9.0   -8.2   -4.6    2.0   10.5   15.3   17.1   14.7   10.1    3.5   -0.2   -0.1    -7.3     2.6    15.7     4.5    3.88
1961   -4.1   -0.4    0.2    2.8    9.5   16.3   15.1   13.7    9.9    9.0    2.2   -4.9    -1.5     4.2    15.0     7.0    6.18
1962   -4.0   -4.9   -7.7    3.6    7.9   11.7   14.3   12.6    9.1    6.6    1.0   -5.5    -4.6     1.3    12.9     5.6    3.78
1963   -9.1  -10.8   -8.1    2.1   12.4   14.1   16.8   16.0   12.3    5.8   -0.2   -3.4    -8.5     2.1    15.6     6.0    3.82
1964   -2.6   -8.8   -5.2    2.2    9.3   13.7   15.8   14.4    9.8    6.7    0.1   -1.8    -4.9     2.1    14.6     5.5    4.33
1965   -3.3   -7.1   -4.0    3.4    6.9   14.4   14.1   13.8   12.2    5.8   -4.4   -4.9    -4.1     2.1    14.1     4.5    4.17
1966  -11.9  -13.8   -3.2   -0.1    9.1   17.8   17.7   14.2    8.8    4.9    2.0   -3.6   -10.2     1.9    16.6     5.2    3.38
1967  -10.2   -4.4    0.2    2.8    8.9   13.2   16.5   15.1   11.5    8.1    3.6   -9.4    -6.1     4.0    14.9     7.7    5.14
1968  -12.8   -5.4   -1.5    4.1    7.0   15.9   15.4   15.9   10.3    2.4   -1.2   -1.8    -9.2     3.2    15.7     3.8    3.39
1969   -7.8   -9.2   -6.6    3.1    8.6   15.9   16.8   17.1    9.6    5.6   -0.2   -7.5    -6.3     1.7    16.6     5.0    4.26
1970   -9.7  -13.0   -2.3    1.2    9.4   16.7   15.7   15.1    9.8    4.4   -1.1   -1.9   -10.1     2.8    15.8     4.4    3.23
1971   -2.0   -5.1   -5.0    2.1   10.1   13.7   16.7   15.3    8.9    4.8   -1.2   -1.5    -3.0     2.4    15.2     4.2    4.70
1972   -7.3   -3.9   -2.8    2.0    9.3   15.9   19.2   16.0   10.0    4.8    0.9    2.2    -4.2     2.8    17.0     5.2    5.22
1973   -1.2   -3.7   -0.2    2.4    9.5   16.0   19.2   14.8    7.3    2.5   -2.7   -6.5    -0.9     3.9    16.7     2.4    5.51
1974   -1.9   -0.5   -1.4    2.9    7.7   14.2   14.9   14.6   12.1    4.6    2.2    0.9    -3.0     3.1    14.6     6.3    5.24
1975   -0.9   -2.3   -0.4    3.4   11.2   13.3   17.4   16.2   12.8    5.2    1.9   -1.0    -0.8     4.7    15.6     6.6    6.56
1976   -9.3   -5.4   -5.3    1.7   10.6   12.9   15.5   15.5    7.8    2.2    0.7   -4.9    -5.2     2.3    14.6     3.6    3.83
1977   -5.4   -8.8   -1.9    1.1    8.8   14.4   13.9   14.4    8.5    5.6    1.4   -3.0    -6.4     2.7    14.2     5.2    3.93
1978   -4.8  -10.9   -3.5    1.2   10.0   14.1   15.0   13.6    8.4    4.2    2.5  -11.9    -6.2     2.6    14.2     5.0    3.90
1979   -8.5   -9.0   -1.5    1.8    9.8   15.6   14.6   15.5    9.9    4.1    1.6   -4.5    -9.8     3.4    15.2     5.2    3.50
1980   -7.7   -8.7   -5.5    5.0    7.8   17.3   17.1   14.8   11.4    4.9   -2.3   -2.6    -7.0     2.4    16.4     4.7    4.13
1981   -4.3   -5.8   -5.6    1.7   11.4   13.1   16.6   14.0    9.9    6.0    0.2   -6.4    -4.2     2.5    14.6     5.4    4.55
1982   -9.7   -5.5    0.1    2.3    8.4   11.8   17.0   16.6   10.5    4.9    4.0   -0.2    -7.2     3.6    15.1     6.5    4.50
1983   -1.3   -7.6   -2.7    4.8   10.8   13.5   17.0   15.5   11.4    6.1   -1.6   -2.6    -3.0     4.3    15.3     5.3    5.48
1984   -4.7   -4.8   -4.2    4.6   12.8   14.0   15.0   15.0    9.6    7.2    1.3   -1.4    -4.0     4.4    14.7     6.0    5.27
1985  -15.2  -15.1   -2.3    0.7    8.8   13.8   15.9   16.0    9.6    6.8   -1.6   -6.3   -10.6     2.4    15.2     4.9    3.00
1986   -7.7  -11.5   -1.2    2.0   10.4   16.4   16.4   13.2    7.2    6.0    4.1   -7.1    -8.5     3.7    15.3     5.8    4.08
1987  -17.2   -7.0   -6.2    2.5    7.4   11.8   15.3   11.8    8.9    7.1    0.2   -3.6   -10.4     1.2    13.0     5.4    2.29
1988   -2.2   -3.4   -3.1    1.5   11.3   17.0   19.2   14.3   11.6    4.9   -2.7   -5.7    -3.1     3.2    16.8     4.6    5.40
1989    0.1    0.6    1.2    5.1   10.3   15.6   16.8   14.5   11.7    5.4    0.7   -4.8    -1.7     5.5    15.6     5.9    6.36
1990   -2.8    1.2    1.7    5.9    9.6   14.6   15.9   15.9    8.5    5.3   -0.9   -0.6    -2.1     5.7    15.5     4.3    5.84
1991   -2.6   -6.3   -0.4    3.6    7.2   11.7   17.3   17.0    9.9    5.8    3.1   -0.7    -3.2     3.5    15.3     6.3    5.48
1992   -1.1   -1.9    0.9    1.5   11.4   16.4   16.3   14.6   11.5    0.2   -0.9    0.4    -1.2     4.6    15.8     3.6    5.68
1993   -1.5   -2.9   -0.5    3.7   13.6   11.6   16.4   13.4    6.7    3.9   -2.9   -2.8    -1.3     5.6    13.8     2.6    5.16
1994   -4.1  -13.2   -2.8    4.9    8.2   12.1   19.6   15.7   10.5    4.8   -0.3    0.5    -6.7     3.4    15.8     5.0    4.38
1995   -3.0   -0.7   -0.1    3.2    8.7   16.9   16.2   15.8   10.9    8.0   -1.8   -6.7    -1.1     3.9    16.3     5.7    6.22
1996   -5.5  -10.3   -3.7    2.9    8.7   12.9   14.3   17.7    9.0    6.9    2.5   -5.3    -7.5     2.6    15.0     6.1    4.06
1997   -3.8   -3.7   -0.8    1.3    7.5   16.3   18.5   18.6   10.6    2.7   -0.1   -2.6    -4.3     2.7    17.8     4.4    5.15
1998   -2.0   -3.4   -3.4    3.5    9.7   13.5   15.6   13.5   11.3    5.5   -3.2   -2.6    -2.7     3.3    14.2     4.5    4.83
1999   -5.7   -6.8   -1.4    5.2    8.2   17.1   18.3   15.4   13.0    6.4    2.0   -2.4    -5.0     4.0    16.9     7.1    5.76
2000   -2.7   -2.3   -1.2    5.9   10.1   13.3   15.9   14.8    9.7    8.6    4.3    1.2    -2.5     4.9    14.7     7.5    6.17
2001   -1.6   -8.0   -3.2    5.0    9.0   14.1   19.5   16.2   11.7    8.2    0.0   -6.4    -2.8     3.6    16.6     6.6    6.01
2002   -3.6   -1.1    0.0    5.5   11.7   16.1   18.6   19.3   10.9    0.4   -3.0   -7.8    -3.7     5.7    18.0     2.8    5.70
2003   -9.1   -6.3   -0.8    2.5    9.3   13.5   20.6   16.1   11.8    3.3    2.6   -0.8    -7.7     3.7    16.7     5.9    4.64
2004   -6.3   -4.0   -1.1    5.4    9.9   12.7   16.0   16.7   12.0    5.6   -0.3    0.1    -3.7     4.7    15.1     5.8    5.48
2005   -1.2   -4.5   -5.6    4.5    9.2   13.7   18.7   15.9   12.1    7.3    3.3   -3.8    -1.9     2.7    16.1     7.6    6.12
2006   -4.1   -7.1   -6.1    3.4   10.3   14.8   18.0   18.1   13.7    7.5    2.5    3.5    -5.0     2.5    17.0     7.9    5.60
